CUI1,CUI2,REL
C0001627,C0268285,CHD
C0001627,C0268292,CHD
C0001627,C0342471,CHD
C0001627,C0342474,CHD
C0001627,C0852654,CHD
C0002170,C0002171,CHD
C0002170,C0162311,CHD
C0002170,C0265992,CHD
C0002170,C1859877,CHD
C0002170,C1863092,CHD
C0002170,C2676272,CHD
C0002170,C2678038,CHD
C0002171,C1853104,CHD
C0002171,C1863094,CHD
C0002312,C3161174,CHD
C0002312,C3278364,CHD
C0002395,C1837149,CHD
C0002395,C1846735,CHD
C0002395,C1853360,CHD
C0002395,C1853555,CHD
C0002395,C1854187,CHD
C0002395,C1864828,CHD
C0002395,C1970143,CHD
C0002395,C1970144,CHD
C0002395,C1970147,CHD
C0002395,C1970209,CHD
C0002395,C2677888,CHD
C0002395,CN043596,CHD
C0002395,CN043623,CHD
C0002514,C0019880,CHD
C0002514,C0024776,CHD
C0002514,C0031485,CHD
C0002514,C0175683,CHD
C0002514,C0268490,CHD
C0002514,C0268547,CHD
C0002736,C1837728,CHD
C0002736,C1842674,CHD
C0002736,C1842675,CHD
C0002736,C1847735,CHD
C0002736,C1862939,CHD
C0002736,C1865409,CHD
C0002736,C2675491,CHD
C0002736,C2677565,CHD
C0002736,C2678468,CHD
C0002736,CN239582,CHD
C0002876,C0271933,CHD
C0002876,C0271934,CHD
C0002876,C1306589,CHD
C0002876,C1845837,CHD
C0002876,C3150926,CHD
C0004114,C0017636,CHD
C0004238,C1837014,CHD
C0004238,C1862394,CHD
C0004238,C2677106,CHD
C0004238,C3151431,CHD
C0004238,C3279693,CHD
C0004238,C3279695,CHD
C0005283,C0271979,CHD
C0005283,C0472767,CHD
C0005283,C0599528,CHD
C0005283,C0869532,CHD
C0005684,C0699885,CHD
C0006118,C0153633,CHD
C0006118,C0496899,CHD
C0007193,C0340427,CHD
C0007222,C0027051,CHD
C0007570,C1846631,CHD
C0007570,C1857845,CHD
C0007570,C1857846,CHD
C0007570,C1857847,CHD
C0007570,C1859310,CHD
C0007570,C1969030,CHD
C0007570,C2677601,CHD
C0007570,C2677602,CHD
C0007570,C2677603,CHD
C0007570,C2677604,CHD
C0007570,C2677605,CHD
C0007570,C2677606,CHD
C0007570,C2677607,CHD
C0007959,C0270914,CHD
C0007959,C0751036,CHD
C0007959,C1842237,CHD
C0007959,C3280845,CHD
C0007959,C3554654,CHD
C0007959,CN043578,CHD
C0007959,CN118851,CHD
C0008533,C4016497,CHD
C0008533,CN043453,CHD
C0008533,CN043454,CHD
C0008626,C0949683,CHD
C0008626,C0969687,CHD
C0008780,C0022521,CHD
C0008780,C1837615,CHD
C0008780,C1837616,CHD
C0008780,C1837618,CHD
C0008780,C1847554,CHD
C0008780,C1970506,CHD
C0008780,C2675228,CHD
C0008780,C2675229,CHD
C0008780,C2675867,CHD
C0008780,C2676235,CHD
C0008780,C2677085,CHD
C0008780,C2678473,CHD
C0008780,C2750790,CHD
C0008780,C3151136,CHD
C0008780,C3151137,CHD
C0008780,C3151460,CHD
C0008780,C3540844,CHD
C0008780,C3542550,CHD
C0008780,C3543825,CHD
C0008780,C3543826,CHD
C0008780,C3809087,CHD
C0008780,C3809543,CHD
C0008780,C3809548,CHD
C0008780,C3809634,CHD
C0009207,C0751038,CHD
C0009207,C0751039,CHD
C0010073,C3149657,CHD
C0010073,C3149706,CHD
C0010073,CN068477,CHD
C0010278,C1833340,CHD
C0010278,C1858160,CHD
C0010278,C3715051,CHD
C0010278,CN029978,CHD
C0010308,C0271789,CHD
C0010308,C0342195,CHD
C0010308,C1291299,CHD
C0010308,C1563716,CHD
C0010308,C1846632,CHD
C0010308,C3493776,CHD
C0013261,C0751083,CHD
C0013261,C0994516,CHD
C0013581,C1644196,CHD
C0013581,C1851286,CHD
C0013581,C2673634,CHD
C0013902,C1851741,CHD
C0013902,C1862324,CHD
C0013902,C1866810,CHD
C0013902,C2678497,CHD
C0014130,C0001627,CHD
C0014474,C0206725,CHD
C0014553,C1838604,CHD
C0014553,C1843244,CHD
C0014553,C1970160,CHD
C0014553,C2677087,CHD
C0014553,C2749872,CHD
C0015625,C1835817,CHD
C0015625,C1836860,CHD
C0015625,C1836861,CHD
C0015625,C1838457,CHD
C0015625,C1845292,CHD
C0015625,C3150653,CHD
C0015625,C3160738,CHD
C0015625,C3160739,CHD
C0015625,C3468041,CHD
C0015625,C3469521,CHD
C0015625,C3469526,CHD
C0015625,C3469527,CHD
C0015625,C3469528,CHD
C0015625,C3469529,CHD
C0015625,C3469542,CHD
C0016719,C1856689,CHD
C0016719,C1865981,CHD
C0016952,C0268151,CHD
C0016952,C0268155,CHD
C0016952,C0751161,CHD
C0017205,C0268250,CHD
C0017205,C0268251,CHD
C0017205,C1842704,CHD
C0017205,C1856476,CHD
C0017205,C1856491,CHD
C0017205,C1856492,CHD
C0017205,C1856493,CHD
C0017205,C1864651,CHD
C0017205,C1961835,CHD
C0017601,C1835933,CHD
C0017601,C1837527,CHD
C0017601,C1837528,CHD
C0017601,C1842028,CHD
C0017601,C1857852,CHD
C0017601,C1863926,CHD
C0017601,C1864653,CHD
C0017601,C1865427,CHD
C0017601,C1866483,CHD
C0017601,C1969811,CHD
C0017601,C1969812,CHD
C0017601,C2751294,CHD
C0017601,C3887942,CHD
C0017601,CN244415,CHD
C0017638,C0004114,CHD
C0017638,C0014474,CHD
C0017638,C0025149,CHD
C0017638,C0028945,CHD
C0017638,C0280793,CHD
C0017638,C2750850,CHD
C0017919,C0017920,CHD
C0017919,C0017921,CHD
C0017919,C0017922,CHD
C0017919,C0017923,CHD
C0017919,C0017924,CHD
C0017919,C0017926,CHD
C0017919,C0268147,CHD
C0017919,C0268149,CHD
C0017919,C0272066,CHD
C0017919,C2752015,CHD
C0017919,C2752027,CHD
C0017919,C3150754,CHD
C0017920,C0268146,CHD
C0017920,C2919796,CHD
C0017921,C0751173,CHD
C0017922,C1968739,CHD
C0017922,C1968740,CHD
C0017922,C1968741,CHD
C0017922,C1968742,CHD
C0018203,C1844376,CHD
C0018203,C1856245,CHD
C0018203,C1856251,CHD
C0018203,C1856255,CHD
C0018203,C3151409,CHD
C0018817,C1842778,CHD
C0018817,C1862389,CHD
C0018817,C1969657,CHD
C0018817,C2748552,CHD
C0018817,C2751315,CHD
C0018817,C3279790,CHD
C0019045,C0002895,CHD
C0019045,C0019034,CHD
C0019045,C0039730,CHD
C0019045,C0221019,CHD
C0019045,C0272084,CHD
C0019045,C1264000,CHD
C0019069,C1844137,CHD
C0019250,C0001733,CHD
C0019250,C1260903,CHD
C0019250,C1859970,CHD
C0019250,C2584774,CHD
C0019569,C1838564,CHD
C0019569,C1968840,CHD
C0019569,C1969482,CHD
C0019569,C1969836,CHD
C0019569,C1969837,CHD
C0019569,C1970723,CHD
C0019569,C2931739,CHD
C0019569,C2931876,CHD
C0019569,C3150975,CHD
C0019569,C3151237,CHD
C0020072,C2751092,CHD
C0020072,C2752089,CHD
C0020072,C3280168,CHD
C0020179,C0751208,CHD
C0020179,C1279186,CHD
C0020476,C0020445,CHD
C0020476,C0020479,CHD
C0020476,C0020481,CHD
C0020476,C0023817,CHD
C0020476,CN074246,CHD
C0020501,C0268164,CHD
C0020501,C0268165,CHD
C0020501,C3150878,CHD
C0020630,C0220743,CHD
C0020630,C0268412,CHD
C0020630,C0268413,CHD
C0020758,C0239849,CHD
C0020758,C1832550,CHD
C0020758,C1847849,CHD
C0020758,C1855792,CHD
C0020758,C1858142,CHD
C0020758,C2677065,CHD
C0020758,C3536797,CHD
C0020758,C3553029,CHD
C0020758,C3554348,CHD
C0020758,C3554349,CHD
C0020758,C3554355,CHD
C0022738,C1859209,CHD
C0022738,C1861689,CHD
C0022738,C3150967,CHD
C0023264,C0034341,CHD
C0023264,C0034345,CHD
C0023264,C1834340,CHD
C0023264,C1838951,CHD
C0023264,C1850597,CHD
C0023264,C1850598,CHD
C0023264,C1850600,CHD
C0023264,C1857355,CHD
C0023264,C3502630,CHD
C0023264,CN043625,CHD
C0023786,C0026708,CHD
C0023786,C0086431,CHD
C0023786,C0086795,CHD
C0024115,CN163264,CHD
C0024121,C0684249,CHD
C0024141,C1835919,CHD
C0024141,C1835929,CHD
C0024141,C1842057,CHD
C0024141,C1854235,CHD
C0024141,C1854577,CHD
C0024141,C1864731,CHD
C0024141,C1864732,CHD
