CUI1,CUI2,REL
C0024141,C1866373,CHD
C0024141,C1970455,CHD
C0024141,C2676487,CHD
C0024141,C2677095,CHD
C0024141,C2677096,CHD
C0024141,C2677097,CHD
C0024141,C2751054,CHD
C0024591,C1835161,CHD
C0024591,C1838102,CHD
C0024591,C1866076,CHD
C0024591,C2930982,CHD
C0024591,C2930984,CHD
C0024591,CN031421,CHD
C0024776,C1855369,CHD
C0024776,C1855371,CHD
C0025202,C0151779,CHD
C0026706,C0086647,CHD
C0026706,C0086648,CHD
C0026706,C0086649,CHD
C0026706,C0086650,CHD
C0026707,C0086651,CHD
C0026707,C0086652,CHD
C0026847,C0043116,CHD
C0026847,C0152109,CHD
C0026847,C0393538,CHD
C0026847,C1838230,CHD
C0027127,C0751360,CHD
C0027127,C2936781,CHD
C0027708,C1832099,CHD
C0027708,C1832426,CHD
C0027708,C1860265,CHD
C0027708,CN033288,CHD
C0027819,C2749485,CHD
C0027819,C2751681,CHD
C0027819,C2751682,CHD
C0027877,C0751383,CHD
C0027877,C1834207,CHD
C0027877,C1836841,CHD
C0027877,C1838570,CHD
C0027877,C1838571,CHD
C0027877,C1850442,CHD
C0027877,C1850451,CHD
C0027877,C1864669,CHD
C0027877,C1866282,CHD
C0027877,C1876161,CHD
C0028064,C0220756,CHD
C0028064,C0268242,CHD
C0028064,C0268243,CHD
C0028326,C0041409,CHD
C0028326,C1853120,CHD
C0028326,C1854469,CHD
C0028326,C1860991,CHD
C0028326,C1969057,CHD
C0028326,C2750732,CHD
C0028326,C3150970,CHD
C0028326,C3809233,CHD
C0029434,C0023931,CHD
C0029434,C0268360,CHD
C0029434,C0268362,CHD
C0029434,C0268363,CHD
C0029434,C1850169,CHD
C0029434,C1853162,CHD
C0029434,C1970414,CHD
C0029434,C1970458,CHD
C0029434,C3151211,CHD
C0029434,C3151218,CHD
C0029434,C3151433,CHD
C0029434,C3279564,CHD
C0030567,C0238344,CHD
C0030567,C1838867,CHD
C0030567,C1843211,CHD
C0030567,C1845165,CHD
C0030567,C1846862,CHD
C0030567,C1847360,CHD
C0030567,C1847640,CHD
C0030567,C1850100,CHD
C0030567,C1853202,CHD
C0030567,C1853445,CHD
C0030567,C1853833,CHD
C0030567,C1854182,CHD
C0030567,C1865581,CHD
C0030567,C1868595,CHD
C0030567,C1868675,CHD
C0030567,C1970035,CHD
C0030567,C2751012,CHD
C0030567,C2751842,CHD
C0030567,C3150899,CHD
C0030567,C3160718,CHD
C0030567,C3280133,CHD
C0031485,C0085547,CHD
C0031485,C0268465,CHD
C0034013,C0342543,CHD
C0034013,C0342549,CHD
C0034345,C1839413,CHD
C0034345,C1855553,CHD
C0034345,C1855565,CHD
C0034345,C3279841,CHD
C0034345,CN043137,CHD
C0035334,C0220701,CHD
C0035334,C1419614,CHD
C0035334,C1832378,CHD
C0035334,C1833245,CHD
C0035334,C1834329,CHD
C0035334,C1835895,CHD
C0035334,C1835923,CHD
C0035334,C1838601,CHD
C0035334,C1838603,CHD
C0035334,C1838647,CHD
C0035334,C1838702,CHD
C0035334,C1842127,CHD
C0035334,C1842475,CHD
C0035334,C1842816,CHD
C0035334,C1843816,CHD
C0035334,C1853214,CHD
C0035334,C1858677,CHD
C0035334,C1864446,CHD
C0035334,C1864621,CHD
C0035334,C1866422,CHD
C0035334,C1867299,CHD
C0035334,C1867300,CHD
C0035334,C1970163,CHD
C0035334,C2675186,CHD
C0035334,C2675496,CHD
C0035334,C2677516,CHD
C0035334,C2681923,CHD
C0035334,C2751763,CHD
C0035334,C2751986,CHD
C0035334,C3150691,CHD
C0035334,C3150715,CHD
C0035334,C3150819,CHD
C0035334,C3150879,CHD
C0035334,C3151001,CHD
C0035334,C3151061,CHD
C0035334,C3151066,CHD
C0035334,C3151068,CHD
C0035334,C3151086,CHD
C0035334,C3151107,CHD
C0035334,C3151138,CHD
C0035334,C3151139,CHD
C0035334,C3151190,CHD
C0035334,C3151227,CHD
C0035334,C3151228,CHD
C0035334,C3151434,CHD
C0035334,C3280042,CHD
C0035334,C3281046,CHD
C0035334,CN043634,CHD
C0035372,C1968556,CHD
C0036341,C0220702,CHD
C0036341,C0543918,CHD
C0036341,C1833247,CHD
C0036341,C1837893,CHD
C0036341,C1838069,CHD
C0036341,C1842605,CHD
C0036341,C1858050,CHD
C0036341,C1864010,CHD
C0036341,C1864124,CHD
C0036341,C1864152,CHD
C0036341,C1864153,CHD
C0036341,C1864275,CHD
C0036341,C2677614,CHD
C0036341,C2751663,CHD
C0036341,C3151380,CHD
C0036341,C3151408,CHD
C0036341,C3280524,CHD
C0036341,C3808913,CHD
C0036868,C0221033,CHD
C0036868,CN179857,CHD
C0037889,C2674218,CHD
C0037889,C2674219,CHD
C0037889,C2675192,CHD
C0037889,C2675212,CHD
C0037889,C2678338,CHD
C0039373,C1848914,CHD
C0039373,CN120377,CHD
C0039445,C1832774,CHD
C0039445,C1832942,CHD
C0039445,C1838163,CHD
C0039445,C1857688,CHD
C0039445,CN034812,CHD
C0039585,C0936016,CHD
C0039585,CN035075,CHD
C0039585,CN037063,CHD
C0039730,C0002312,CHD
C0039730,C0005283,CHD
C0040761,C1415817,CHD
C0040761,C1837341,CHD
C0040761,C3151221,CHD
C0041341,C1838327,CHD
C0041341,C1854465,CHD
C0041341,C1860707,CHD
C0042065,C0005684,CHD
C0042065,C0007134,CHD
C0042065,C0015558,CHD
C0042065,C0042138,CHD
C0042065,C0153594,CHD
C0042065,C0153619,CHD
C0042065,C0241961,CHD
C0042065,C0346255,CHD
C0042065,C0376358,CHD
C0042065,C0474809,CHD
C0042065,C0919267,CHD
C0042065,CN182936,CHD
C0042138,C0007873,CHD
C0042138,C0014170,CHD
C0042974,C1264039,CHD
C0042974,C1282968,CHD
C0042974,C1282971,CHD
C0043346,C0268135,CHD
C0043346,C0268138,CHD
C0043346,C0268140,CHD
C0043346,C0268141,CHD
C0043346,C1848410,CHD
C0043346,C1848411,CHD
C0043346,C1970808,CHD
C0043346,C2752147,CHD
C0043346,CN119607,CHD
C0078918,C0268495,CHD
C0078918,C1847836,CHD
C0078918,C3808786,CHD
C0078918,C3888401,CHD
C0078918,CN119529,CHD
C0079298,C0079295,CHD
C0079298,C0079299,CHD
C0079298,C0080333,CHD
C0079298,C0432316,CHD
C0079301,C0079683,CHD
C0079301,C0268374,CHD
C0079504,C1842362,CHD
C0079504,C2931875,CHD
C0079504,C3279756,CHD
C0079504,C3280026,CHD
C0079504,C3484357,CHD
C0079504,C3888001,CHD
C0079504,C3888004,CHD
C0079504,C3888007,CHD
C0079504,C3888026,CHD
C0079541,C1832424,CHD
C0079541,C1834877,CHD
C0079541,C1835819,CHD
C0079541,C1835820,CHD
C0079541,C1836254,CHD
C0079541,C1840528,CHD
C0079541,C1840529,CHD
C0079541,C1844016,CHD
C0079541,C1845146,CHD
C0079541,C1849649,CHD
C0079541,C1853187,CHD
C0079541,C1853830,CHD
C0079541,C1855550,CHD
C0079541,C1864827,CHD
C0079541,C1876185,CHD
C0079541,C2675857,CHD
C0079541,CN072874,CHD
C0079541,CN072875,CHD
C0079541,CN072876,CHD
C0079541,CN072877,CHD
C0079541,CN120371,CHD
C0085110,C1279481,CHD
C0085110,C1863236,CHD
C0085131,C0268271,CHD
C0085131,C0268272,CHD
C0085131,C0268273,CHD
C0085215,C1837008,CHD
C0085215,C1845105,CHD
C0085215,C1845293,CHD
C0085215,C1845295,CHD
C0085215,C1969060,CHD
C0085215,C2676742,CHD
C0085215,C2751825,CHD
C0085215,C3494522,CHD
C0085280,C1857761,CHD
C0085280,C1956125,CHD
C0085390,C1835398,CHD
C0085390,C1836482,CHD
C0087012,CN226644,CHD
C0087012,CN227858,CHD
C0151779,C1512419,CHD
C0152171,C3809192,CHD
C0152171,C3809198,CHD
C0152171,C3888002,CHD
C0152200,C1841721,CHD
C0152200,C1849792,CHD
C0152200,C1857618,CHD
C0152200,C2751309,CHD
C0152264,C1837915,CHD
C0152264,C1853286,CHD
C0152264,C2673187,CHD
C0153594,C0036631,CHD
C0153594,C0238451,CHD
C0154246,C0175683,CHD
C0154246,C0268542,CHD
C0154246,C0268543,CHD
C0154246,C0268547,CHD
C0154246,C0268548,CHD
C0154246,C0751753,CHD
C0158981,C0342273,CHD
C0158981,C1833104,CHD
C0162283,C1563705,CHD
C0162283,C1563706,CHD
C0162534,C0017495,CHD
C0162534,C0022336,CHD
C0162534,C0206042,CHD
C0162809,C1563719,CHD
C0162809,C1563720,CHD
C0162809,C1857720,CHD
C0162809,C2675188,CHD
C0162809,C2675302,CHD
C0162809,C2930927,CHD
C0175693,CN201475,CHD
C0175704,C1969056,CHD
C0175704,C3150971,CHD
C0175704,CN074218,CHD
C0175709,C0410203,CHD
C0175709,C0410204,CHD
C0175709,C1834558,CHD
C0206157,C1836447,CHD
C0206157,C1836448,CHD
C0206157,C1836472,CHD
C0206157,C1850569,CHD
C0206157,C1853154,CHD
C0206157,C1854380,CHD
C0206157,C3711389,CHD
C0206157,C3809209,CHD
C0220663,C2931135,CHD
C0220663,C2931136,CHD
C0220756,C1843366,CHD
C0220756,C3179455,CHD
C0221032,C1720862,CHD
C0221032,C1720863,CHD
C0234166,C1835614,CHD
C0234166,C1845102,CHD
C0234166,C3553288,CHD
C0234166,C3553291,CHD
C0235974,C2931038,CHD
C0236038,C0027832,CHD
C0236038,C0220754,CHD
C0236038,C0265253,CHD
C0236038,C0339534,CHD
C0236038,C0342680,CHD
C0236038,C0751651,CHD
C0236038,C0796074,CHD
C0236038,C1567741,CHD
C0236038,C1568247,CHD
C0236038,C1568248,CHD
C0236038,C1832200,CHD
C0236038,C1847800,CHD
C0236038,C1848519,CHD
C0236038,C2700265,CHD
C0236038,C2750452,CHD
C0236038,C2750457,CHD
C0236038,CN034131,CHD
C0236038,CN043574,CHD
C0236038,CN043648,CHD
C0236792,C1837434,CHD
C0236792,C1837646,CHD
C0236792,C1837697,CHD
C0236792,C1845334,CHD
C0236792,C1845341,CHD
C0236792,C1864961,CHD
C0238358,C2750061,CHD
C0238358,C3714580,CHD
C0242383,C1837187,CHD
C0242383,C1853147,CHD
C0242383,C1857813,CHD
C0242383,C1864205,CHD
C0242383,C1969108,CHD
C0242383,C1969651,CHD
C0242383,C2677774,CHD
C0242383,C3151060,CHD
C0242383,C3151063,CHD
C0242383,C3151070,CHD
C0242383,C3495438,CHD
C0242387,C1855433,CHD
C0242387,C3150983,CHD
C0242387,CN119605,CHD
C0265215,C1846357,CHD
C0265215,C1864148,CHD
C0265215,C1969052,CHD
C0265215,C1970161,CHD
C0265215,C2673885,CHD
C0265215,C2676790,CHD
C0265215,C3280036,CHD
C0265215,C3280155,CHD
C0265215,C3714506,CHD
C0265215,C3836857,CHD
C0265253,C1858084,CHD
C0265253,C1861481,CHD
C0265253,C2020284,CHD
C0265253,C3279941,CHD
C0265253,C3280342,CHD
C0265268,C3280182,CHD
C0265268,C3553748,CHD
C0265268,C3809092,CHD
C0265268,CN028867,CHD
C0265275,C1970005,CHD
C0265275,C3151185,CHD
C0265275,C3280598,CHD
C0265275,CN119532,CHD
C0265301,C3280402,CHD
C0265301,CN032489,CHD
C0265313,C1869114,CHD
C0265313,C1869115,CHD
C0265313,C3553785,CHD
C0265334,C1706595,CHD
C0265334,C1721007,CHD
C0265334,C3714948,CHD
C0265334,C3714949,CHD
C0265341,C1832229,CHD
C0265341,C2678503,CHD
C0265341,C3714873,CHD
C0265343,C1852521,CHD
C0265343,CN043670,CHD
C0265554,C1847622,CHD
C0265965,C1148551,CHD
C0265965,C1851970,CHD
C0265965,C1857144,CHD
C0265965,C3151441,CHD
C0265965,C3151442,CHD
C0265965,C3151444,CHD
C0265965,C3554656,CHD
C0266463,C0431375,CHD
C0266463,C0796089,CHD
C0266463,C1846171,CHD
C0266463,C1848199,CHD
C0266463,C1969029,CHD
C0266463,C3554657,CHD
C0268060,C1865614,CHD
C0268060,C1865616,CHD
C0268119,C1854988,CHD
C0268119,C1854989,CHD
C0268119,C1854990,CHD
C0268147,C0017927,CHD
C0268147,C0543514,CHD
C0268147,C1845151,CHD
C0268147,C2751643,CHD
C0268293,C3463917,CHD
C0268293,CN074214,CHD
C0268345,C1851801,CHD
C0268345,C2700425,CHD
C0268345,CN071434,CHD
C0268350,C3276539,CHD
C0268350,C3280794,CHD
C0268350,C4225268,CHD
C0268351,C0268354,CHD
C0268351,C0268355,CHD
C0268351,C2751987,CHD
C0268351,C3280798,CHD
C0268351,C3280799,CHD
C0268351,CN033664,CHD
C0268583,C1848552,CHD
C0268583,C1855100,CHD
C0268583,C1855102,CHD
C0268583,C1855109,CHD
C0268583,C1855114,CHD
C0268600,C1859499,CHD
C0268600,CN028786,CHD
C0268634,C0220710,CHD
C0268634,C0268596,CHD
C0268634,C0342788,CHD
C0268634,C0342791,CHD
C0268634,C1833511,CHD
C0268634,C3887523,CHD
C0268743,CN071292,CHD
C0268743,CN120381,CHD
C0270736,C1860861,CHD
C0270736,C1865810,CHD
C0270736,C1969617,CHD
C0270736,C2678494,CHD
C0270850,C0014553,CHD
C0270850,C1850778,CHD
C0270914,C1833219,CHD
C0270914,C1837552,CHD
C0270914,C1842983,CHD
C0270914,C1843153,CHD
C0270914,C1843173,CHD
C0270914,C1843225,CHD
C0270914,C1847823,CHD
C0270914,C2079538,CHD
C0270914,C2079540,CHD
C0270914,C2750090,CHD
C0270914,C3280220,CHD
C0270914,C3280797,CHD
C0270914,C3888087,CHD
C0270914,CN118836,CHD
C0270914,CN118848,CHD
C0270972,C1802395,CHD
C0270972,C1853099,CHD
C0270972,C3550903,CHD
C0270972,C3553517,CHD
C0270972,CN029798,CHD
C0270984,C0017921,CHD
C0270984,C0268123,CHD
C0271093,C1838644,CHD
C0271093,C1855465,CHD
C0271093,C1863534,CHD
C0271694,C1720859,CHD
C0271694,C1720860,CHD
C0271694,C1720861,CHD
C0271694,C3151268,CHD
C0271694,C3808940,CHD
C0271694,C4014869,CHD
C0272087,C0268193,CHD
C0272087,C0472786,CHD
C0272087,C2673427,CHD
C0272199,C1837174,CHD
C0272199,C1863727,CHD
C0272199,C1863728,CHD
C0272199,C2751293,CHD
C0272199,CN034020,CHD
C0282529,C1838612,CHD
C0282529,C1857242,CHD
C0282529,C1859133,CHD
C0282577,C0349653,CHD
C0282577,C0398739,CHD
C0282577,C1832736,CHD
C0282577,C1835849,CHD
C0282577,C1836669,CHD
C0282577,C1837396,CHD
C0282577,C1842836,CHD
C0282577,C1846816,CHD
C0282577,C1853736,CHD
C0282577,C1865145,CHD
C0282577,C1970021,CHD
C0282577,C1970344,CHD
C0282577,C2677590,CHD
C0282577,C2752007,CHD
C0282577,C2752015,CHD
C0282577,C2930997,CHD
C0282577,C2931001,CHD
C0282577,C2931002,CHD
C0282577,C2931004,CHD
C0282577,C2931005,CHD
C0282577,C2931006,CHD
C0282577,C2931008,CHD
C0282577,C2931010,CHD
C0282577,C3150191,CHD
C0282577,C3150736,CHD
C0282577,C3150876,CHD
C0282577,C3150913,CHD
C0282577,C3550904,CHD
C0282577,C3553230,CHD
C0282577,C3554385,CHD
C0282577,C3808991,CHD
C0338484,C1832884,CHD
C0338484,C1864987,CHD
C0338484,C1865322,CHD
C0339527,C1837873,CHD
C0339527,C1840284,CHD
C0339527,C1854260,CHD
C0339527,C1857743,CHD
C0339527,C1857821,CHD
C0339527,C1858301,CHD
C0339527,C1858386,CHD
C0339527,C1858677,CHD
C0339527,C1859844,CHD
C0339527,C2675186,CHD
C0339527,C2750063,CHD
C0339527,C2931258,CHD
C0339527,C3151192,CHD
C0339527,C3151202,CHD
C0339527,C3151206,CHD
C0339527,C3280062,CHD
C0339534,C1568249,CHD
C0339534,C1848634,CHD
C0339534,C2931213,CHD
C0339535,C1850362,CHD
C0339535,C2750747,CHD
C0339535,CN043584,CHD
C0340427,C0574083,CHD
C0340427,C1449563,CHD
C0340427,C1832243,CHD
C0340427,C1832244,CHD
C0340427,C1832680,CHD
C0340427,C1834481,CHD
C0340427,C1835926,CHD
C0340427,C1835928,CHD
C0340427,C1837839,CHD
C0340427,C1843791,CHD
C0340427,C1843808,CHD
C0340427,C1847667,CHD
C0340427,C1854159,CHD
C0340427,C1854368,CHD
C0340427,C1858154,CHD
C0340427,C1858591,CHD
C0340427,C1858763,CHD
C0340427,C1969024,CHD
C0340427,C1969639,CHD
C0340427,C2677338,CHD
C0340427,C2678474,CHD
C0340427,C2678475,CHD
C0340427,C2678476,CHD
C0340427,C2750091,CHD
C0340427,C2750466,CHD
C0340427,C2750995,CHD
C0340427,C2751084,CHD
C0340427,C2752072,CHD
C0340427,C3150681,CHD
C0340427,C3150898,CHD
C0340427,C3150958,CHD
C0340427,C3151039,CHD
C0340427,C3151293,CHD
C0340427,C3554649,CHD
C0340427,C3808935,CHD
C0340429,C1861861,CHD
C0340429,C1865071,CHD
C0340429,C2676271,CHD
C0340493,C2751829,CHD
C0340493,C2751898,CHD
C0342273,C1832386,CHD
C0342273,C1835887,CHD
C0342381,C0271567,CHD
C0342381,C0342573,CHD
C0342381,C0472813,CHD
C0342779,C2700431,CHD
C0342779,C3279699,CHD
C0342779,C3279708,CHD
C0342801,CN077959,CHD
C0342801,CN077995,CHD
C0342801,CN078017,CHD
C0343073,C1848435,CHD
C0343073,C1860238,CHD
C0345893,C1832942,CHD
C0346153,C0004135,CHD
C0346153,C0031269,CHD
C0346153,C0085390,CHD
C0346153,C0677776,CHD
C0346153,C1835817,CHD
C0346153,C1836860,CHD
C0346153,C1861906,CHD
C0346153,C1959582,CHD
C0346153,C3469522,CHD
C0346153,C4016951,CHD
C0349788,C1832931,CHD
C0349788,C1836704,CHD
C0349788,C1836906,CHD
C0349788,C1843896,CHD
C0349788,C1857777,CHD
C0349788,C1858378,CHD
C0349788,C1858379,CHD
C0349788,C1862511,CHD
C0349788,C1864850,CHD
C0349788,C1865881,CHD
C0349788,C1865882,CHD
C0349788,C1969081,CHD
C0376358,CN036094,CHD
C0392514,C0268060,CHD
C0392514,C1853733,CHD
C0392514,C1858664,CHD
C0392514,C3469186,CHD
C0392514,CN181217,CHD
C0393591,C0796126,CHD
C0393591,C1835912,CHD
C0393591,C1835916,CHD
C0393591,C2749659,CHD
C0393591,C3489724,CHD
C0393720,C1835966,CHD
C0393720,C1835967,CHD
C0393720,C1868677,CHD
C0398623,C0272375,CHD
C0398623,C1856059,CHD
C0398623,C1861171,CHD
C0398623,C2674321,CHD
C0398623,C3278211,CHD
C0406810,C1854540,CHD
C0406810,C2607929,CHD
C0410189,C0410190,CHD
C0410189,C0751337,CHD
C0410189,C2678055,CHD
C0431375,C0265219,CHD
C0431375,C1848201,CHD
C0431399,C0796147,CHD
C0431399,C1837713,CHD
C0431399,C1842577,CHD
C0431399,C1846790,CHD
C0431399,C1853153,CHD
C0431399,C1857780,CHD
C0431399,C1969053,CHD
C0431399,C2676771,CHD
C0431399,C2676788,CHD
C0431399,C2749019,CHD
C0431399,C3280031,CHD
C0431399,C3280766,CHD
C0431399,CN119531,CHD
C0475813,C0795917,CHD
C0475813,C1845055,CHD
C0549473,C0238462,CHD
C0677776,C2675520,CHD
C0677776,C2676676,CHD
C0677776,C3150659,CHD
C0677776,C3280345,CHD
C0677886,C1333992,CHD
C0684249,C0152013,CHD
C0684249,CN130014,CHD
C0684249,CN130015,CHD
C0684275,C0008533,CHD
C0684275,C0019069,CHD
C0684275,C0272325,CHD
C0684337,C0553580,CHD
C0684337,C0877849,CHD
C0685838,C3554105,CHD
